app_id,duration,spark.broadcast.blockSize,spark.broadcast.compress,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.io.compression.codec,spark.locality.wait,spark.memory.fraction,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.join.preferSortMergeJoin,spark.sql.shuffle.partitions,spark.storage.memoryMapThreshold
application_98,3918,1,1,118,5,9280,7,6,9728,3584,0,3800,0.66,1920,0.43,0,140,72,11264,6000,0,105,9
application_93,2060,15,0,401,8,6208,3,4,7808,3520,0,1300,0.6599999999999999,2624,0.76,0,114,96,11008,11300,1,56,1
